candidate_id,rank,score,reasoning
CAND_0019845,57,0.6739,"A solid middle-tier match. Currently employed as a AI Specialist, they possess a solid 3.4 years of active engineering history. Their technical stack heavily features Data Science, Reinforcement Learning, Pinecone. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0027218,58,0.6738,"A solid middle-tier match. An experienced AI Research Engineer with 4.7 years under their belt. Core competencies include MLOps, Haystack, Diffusion Models. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A potential concern is the extended 60-day notice period."
CAND_0071939,59,0.6709,"A solid middle-tier match. This candidate is a Data Scientist bringing 6.4 years of experience to the table. Core competencies include TTS, Elasticsearch, OpenSearch. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0027340,60,0.6704,"A solid middle-tier match. Working as a Full Stack Developer, this applicant has 9.5 years of professional background. A strong background in BM25, SAP, Hadoop makes them a relevant fit. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0032279,61,0.6696,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced Java Developer with 6.9 years under their belt. They demonstrate deep expertise across Deep Learning, Tally, Elasticsearch. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0033336,62,0.6694,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced Java Developer with 7.7 years under their belt. A strong background in Photoshop, AWS, NLP makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0045475,63,0.6687,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Currently employed as a ML Engineer, they possess a solid 4.9 years of active engineering history. Core competencies include PyTorch, Vue.js, Speech Recognition. A potential concern is the extended 60-day notice period. Located in Delhi, Delhi, they would require relocation to the Pune or Noida office."
CAND_0053605,64,0.6685,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a Senior Software Engineer (ML), this applicant has 6.9 years of professional background. They demonstrate deep expertise across GraphQL, LangChain, CNN. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. They are highly responsive on the platform (88% response rate)."
CAND_0095368,65,0.6685,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced Frontend Engineer with 6.2 years under their belt. A strong background in Next.js, PostgreSQL, Spring Boot makes them a relevant fit. They are highly responsive on the platform (82% response rate). Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0039587,66,0.6684,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Data Engineer bringing 6.2 years of experience to the table. A strong background in Sentence Transformers, TTS, Java makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Their high GitHub activity score (68) shows strong open-source engagement."
CAND_0018961,67,0.6683,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a AI Specialist bringing 5.0 years of experience to the table. A strong background in Flask, Reinforcement Learning, NLP makes them a relevant fit. Located in Bangalore, Karnataka, they would require relocation to the Pune or Noida office. Their high GitHub activity score (62) shows strong open-source engagement."
CAND_0039983,68,0.6679,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Computer Vision Engineer bringing 6.6 years of experience to the table. Core competencies include Tally, Machine Learning, YOLO. They carry a standard notice period of 45 days. Located in Delhi, Delhi, they would require relocation to the Pune or Noida office."
CAND_0040178,69,0.6675,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced ML Engineer with 5.0 years under their belt. Their technical stack heavily features Weaviate, Fine-tuning LLMs, TTS. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A potential concern is the extended 60-day notice period."
CAND_0079662,70,0.6659,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Computer Vision Engineer bringing 7.0 years of experience to the table. They demonstrate deep expertise across Diffusion Models, gRPC, Data Science. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A potential concern is the extended 60-day notice period."
CAND_0037331,71,0.6658,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Currently employed as a Backend Engineer, they possess a solid 6.7 years of active engineering history. They demonstrate deep expertise across Content Writing, LlamaIndex, Speech Recognition. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. Their high GitHub activity score (66) shows strong open-source engagement."
CAND_0098952,72,0.6649,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a AI Research Engineer, this applicant has 5.5 years of professional background. They demonstrate deep expertise across Airflow, Recommendation Systems, Statistical Modeling. They carry a standard notice period of 45 days. Located in Gurgaon, Haryana, they would require relocation to the Pune or Noida office."
CAND_0061550,73,0.6646,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced ML Engineer with 5.3 years under their belt. They demonstrate deep expertise across Feature Engineering, pgvector, Sentence Transformers. They carry a standard notice period of 45 days. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0013440,74,0.6628,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a Senior Data Engineer, this applicant has 7.2 years of professional background. Core competencies include SQL, Spark, GANs. A short 30-day notice period means they can join the founding team quickly. Their high GitHub activity score (55) shows strong open-source engagement."
CAND_0020225,75,0.6626,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Software Engineer bringing 8.5 years of experience to the table. Their technical stack heavily features BigQuery, Project Management, Node.js. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0016657,76,0.6625,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced AI Research Engineer with 5.3 years under their belt. Their technical stack heavily features Marketing, PyTorch, MLOps. A potential concern is the extended 60-day notice period. Located in Delhi, Delhi, they would require relocation to the Pune or Noida office."
CAND_0043676,77,0.6625,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Senior Software Engineer (ML) bringing 6.1 years of experience to the table. A strong background in ASR, QLoRA, scikit-learn makes them a relevant fit. Their high GitHub activity score (84) shows strong open-source engagement. A short 30-day notice period means they can join the founding team quickly."
CAND_0050837,78,0.6614,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Java Developer bringing 9.6 years of experience to the table. Their technical stack heavily features Illustrator, ETL, Photoshop. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0028854,79,0.6602,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced .NET Developer with 6.6 years under their belt. A strong background in Reinforcement Learning, ETL, Rust makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0011263,80,0.6598,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a ML Engineer, this applicant has 5.1 years of professional background. A strong background in LangChain, Machine Learning, Pinecone makes them a relevant fit. A potential concern is the extended 60-day notice period. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0095213,81,0.6592,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a ML Engineer bringing 5.1 years of experience to the table. Core competencies include scikit-learn, Angular, Image Classification. Located in Gurgaon, Haryana, they would require relocation to the Pune or Noida office. A potential concern is the extended 60-day notice period."
CAND_0006263,82,0.6572,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced .NET Developer with 6.3 years under their belt. A strong background in Information Retrieval, Apache Flink, Spark makes them a relevant fit. Lack of visible GitHub activity makes it harder to assess coding habits offline. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0098288,83,0.6564,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Junior ML Engineer bringing 6.7 years of experience to the table. Their technical stack heavily features Time Series, Statistical Modeling, Learning to Rank. A potential concern is the extended 60-day notice period. Located in Mumbai, Maharashtra, they would require relocation to the Pune or Noida office."
CAND_0065599,84,0.6557,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced .NET Developer with 8.5 years under their belt. They demonstrate deep expertise across Fine-tuning LLMs, REST APIs, Terraform. A short 30-day notice period means they can join the founding team quickly. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0068003,85,0.6554,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a DevOps Engineer bringing 5.2 years of experience to the table. They demonstrate deep expertise across Django, PostgreSQL, NLP. Their high GitHub activity score (56) shows strong open-source engagement. A short 30-day notice period means they can join the founding team quickly."
CAND_0073110,86,0.6553,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a Cloud Engineer, this applicant has 7.5 years of professional background. Core competencies include Marketing, Snowflake, CI/CD. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0004337,87,0.6549,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Frontend Engineer bringing 7.1 years of experience to the table. Their technical stack heavily features Salesforce CRM, Six Sigma, Feature Engineering. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0096655,88,0.6534,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a Junior ML Engineer, this applicant has 5.9 years of professional background. A strong background in Python, Spark, Diffusion Models makes them a relevant fit. Lack of visible GitHub activity makes it harder to assess coding habits offline. They carry a standard notice period of 45 days."
CAND_0035025,89,0.6530,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Software Engineer bringing 8.2 years of experience to the table. Their technical stack heavily features SEO, Airflow, Recommendation Systems. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0063139,90,0.6528,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced Java Developer with 6.7 years under their belt. Core competencies include Photoshop, Snowflake, Flask. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0067889,91,0.6525,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Frontend Engineer bringing 9.9 years of experience to the table. They demonstrate deep expertise across Salesforce CRM, NLP, Hadoop. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0097277,92,0.6522,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a DevOps Engineer bringing 6.8 years of experience to the table. Core competencies include TypeScript, LoRA, Data Pipelines. Their high GitHub activity score (56) shows strong open-source engagement. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0018418,93,0.6515,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Cloud Engineer bringing 7.7 years of experience to the table. Core competencies include FAISS, PowerPoint, ASR. They are highly responsive on the platform (82% response rate). Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model."
CAND_0001581,94,0.6508,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced Data Engineer with 6.9 years under their belt. A strong background in Hugging Face Transformers, LLMs, ASR makes them a relevant fit. Their high GitHub activity score (57) shows strong open-source engagement. A short 30-day notice period means they can join the founding team quickly."
CAND_0028206,95,0.6504,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. An experienced QA Engineer with 9.1 years under their belt. They demonstrate deep expertise across Vue.js, PostgreSQL, Accounting. A short 30-day notice period means they can join the founding team quickly. Their high GitHub activity score (60) shows strong open-source engagement."
CAND_0064409,96,0.6487,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a DevOps Engineer bringing 6.4 years of experience to the table. They demonstrate deep expertise across Six Sigma, SQL, Marketing. Being local to Pune, Maharashtra is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0023779,97,0.6478,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Currently employed as a Full Stack Developer, they possess a solid 9.2 years of active engineering history. A strong background in Qdrant, Tailwind, REST APIs makes them a relevant fit. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0082290,98,0.6471,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a Frontend Engineer bringing 9.1 years of experience to the table. Their technical stack heavily features MongoDB, Azure, gRPC. A short 30-day notice period means they can join the founding team quickly. Being local to Pune, Maharashtra is a significant advantage for the hybrid model."
CAND_0044097,99,0.6468,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. This candidate is a QA Engineer bringing 8.5 years of experience to the table. Their technical stack heavily features Sales, Kubeflow, Photoshop. Being local to Noida, Uttar Pradesh is a significant advantage for the hybrid model. A short 30-day notice period means they can join the founding team quickly."
CAND_0030946,100,0.6466,"While their profile shows some relevant adjacent skills, there are notable gaps or lower signal matches compared to top-tier candidates. Working as a Junior ML Engineer, this applicant has 6.7 years of professional background. They demonstrate deep expertise across BM25, Learning to Rank, Diffusion Models. Located in Mumbai, Maharashtra, they would require relocation to the Pune or Noida office. A potential concern is the extended 60-day notice period."
